title,genre,actors,view rating,release date,summary,score,votes,
Your Name,"Animation, Drama, Fantasy, Romance","Mone Kamishiraishi, Aoi Yûki, Ryûnosuke Kamiki, Ryô Narita",PG,07 Apr 2017,A bored girl in the countryside starts sporadically waking up in the body of a city boy whos living the exciting life shed always dreamed of.,8.4,197791,
For Better and Worse,Comedy,"Magdalena in de Betou, Sigrid Johnson, Peter Magnusson, Mira Barkhammar",,03 Mar 2015,"A bickering couple must pretend to be happy at their nieces wedding but as it turns out, they arent the only ones feigning a celebratory mood.",4.1,663,
Craig Ferguson: Tickle Fight,Comedy,Craig Ferguson,TV-MA,05 Dec 2017,"Cheeky comic Craig Ferguson keeps it casual as he discusses 70s porn, Japanese toilets and his mildly crime-filled days as a talk show host.",6.6,897,
Table 19,"Comedy, Drama, Romance","Rya Meyers, Charles Green, Anna Kendrick, Lisa Kudrow",PG-13,03 Mar 2017,"A young woman attends the wedding of her oldest friend, whos also the sister of her recent ex, and unexpectedly bonds with the misfits at her table.",5.8,26363,
Wilson,"Comedy, Drama","Woody Harrelson, Shaun J. Brown, Sandra Lee-Oian Thomas, James Robert Miller",R,24 Mar 2017,A neurotic middle-aged man and his estranged ex track down the daughter she put up for adoption 17 years ago.,5.8,9879,
Jab Harry Met Sejal,"Comedy, Drama, Romance","Shah Rukh Khan, Anushka Sharma, Björn Freiberg, Martavious Gayles",Not Rated,04 Aug 2017,A philandering tour guide in Europe begins to develop feelings for one of his clients while helping her search for her lost engagement ring.,5.3,18774,
Temple,"Adventure, Drama, Horror","Brandon Sklenar, Natalia Warner, Naoto Takenaka, Logan Huffman",TV-MA,01 Sep 2017,Three unsuspecting American tourists visit a mysterious mountain shrine in Japan despite uncanny warnings from local inhabitants to stay away.,3.7,4447,
My Happy Family,Drama,"Ia Shugliashvili, Tsisia Qumsishvili, Berta Khapava, Merab Ninidze",,01 Dec 2017,"A middle-aged wife and mother of two shocks her traditional, multigenerational Georgian household when she announces shes going to live by herself.",7.4,3161,
A StoryBots Christmas,"Family, Fantasy, Musical","Fred Tatasciore, Jeff Gill, Erin Fitzgerald, Judy Greer",,01 Dec 2017,"Bo thinks her holiday gift-giving isnt good enough, so she heads north to study under Santa Claus -- only to find hes missing.",6.1,134,
Dark,"Crime, Drama, Mystery, Sci-Fi, Thriller","Lisa Vicari, Karoline Eichhorn, Louis Hofmann, Maja Schöne",TV-MA,01 Dec 2017,A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three generations.,8.8,283756,
Prison Playbook,"Comedy, Drama","Jung Kyung-Ho, Krystal Jung, Hae-soo Park, Kyoo-hyung Lee",,22 Nov 2017,"With his major league baseball debut right around the corner, a star pitcher lands in prison and must learn to navigate his new world.",8.4,1676,
Voyeur,Documentary,"Gay Talese, Susan Morrison, Nan Talese, Gerald Foos",TV-MA,01 Dec 2017,Legendary journalist Gay Talese unmasks a motel owner who spied on his guests for decades. But his bombshell story soon becomes a scandal of its own.,6.2,4931,
Atomic Puppet,"Animation, Action, Comedy, Sci-Fi","Rob Tinkler, Heather Bambrick, Eric Bauza, Lisa Norton",TV-Y7,18 Jul 2016,"Captain Atomic -- once a superhero, now a sock puppet -- can only activate his powers with the help of Joey, his new partner and biggest fan.",5.1,149,
American Graffiti,"Comedy, Drama","Charles Martin Smith, Paul Le Mat, Richard Dreyfuss, Ron Howard",PG,11 Aug 1973,"On the night before two of them leave for college, four high school pals cruise around town finding love and mischief in this coming-of-age classic.",7.4,82037,
Cool Hand Luke,"Crime, Drama","Paul Newman, J.D. Cannon, George Kennedy, Lou Antonio",GP,01 Nov 1967,"Luke Jackson likes to do things his own way, which leads to a world of hurt when he ends up in a prison camp -- and on the wrong side of its warden.",8.1,162571,
Half Girlfriend,"Drama, Romance","Shraddha Kapoor, Vikrant Massey, Rhea Chakraborty, Arjun Kapoor",TV-PG,19 May 2017,"Small-town Madhav falls for big-city Riya and wants her to be his girlfriend. But she views their relationship differently, and suggests a compromise.",4.4,6384,
Who Am I - Kein System Ist Sicher,"Crime, Drama, Mystery, Sci-Fi, Thriller","Tom Schilling, Wotan Wilke Möhring, Antoine Monot Jr., Elyas M'Barek",Not Rated,25 Sep 2014,"After his compatriots are murdered by Russian gangsters, a hacker confesses the history of his elite, fame-seeking group to a Europol investigator.",7.6,48414,
This Is Your Death,"Drama, Thriller","Caitlin FitzGerald, Famke Janssen, Josh Duhamel, Giancarlo Esposito",R,15 Sep 2017,A disillusioned reality TV host and an idealistic producer are lured by their network into producing a show in which participants kill themselves.,5.6,4388,
The Worthy,"Action, Adventure, Family, Fantasy, Sci-Fi, Thriller","Mahmoud Al Atrash, Maisa Abd Elhadi, Ali Suliman, Mohammad Al Ibrahimi",,23 Feb 2017,"In the near future, with civilization a thing of the past, a man puts his family in peril when he reluctantly lets outsiders into his compound.",5.2,1694,
Monster Island,"Animation, Adventure, Comedy, Family, Fantasy","Fiona Hardingham, Johnny Rose, Katie Leigh, Jenifer Beth Kaplan",,14 Sep 2017,"When a teenager discovers hes not really human, he ventures out to a remote island to explore his roots and confronts a series of wild challenges.",4.8,633,
Soof 2,"Comedy, Romance","Achmed Akkabi, Daniel Karaty, Fedja van Huêt, Lies Visschedijk",,08 Dec 2016,"After her marriage comes undone, Soof needs to reinvent herself and get her life back on track. Is the handsome young Bauke the answer?",6,1307,
Man Down,Comedy,"Mike Wozniak, Greg Davies, Gwyneth Powell, Roisin Conaty",TV-MA,18 Oct 2013,"A childish idiot trapped in an adults body, schoolteacher Dan hates his job, hates his girlfriend-less life and has good reason to fear his dad.",7.7,3001,
Law of Desire,"Comedy, Drama, Thriller","Carmen Maura, Miguel Molina, Eusebio Poncela, Antonio Banderas",NC-17,05 Mar 1987,"A volcanic, obsessive lover turns the life of a hedonistic filmmaker upside down in this smoldering tale helmed by the acclaimed Pedro Almodóvar.",7.1,10905,
High Heels,"Comedy, Drama, Romance","Miguel Bosé, Victoria Abril, Marisa Paredes, Anna Lizaran",R,20 Dec 1991,"Murder complicates the relationship between a famous singer and her estranged daughter, whos now married to someone from her mothers past.",7.1,14038,
Atlanta,"Comedy, Drama, Music","Zazie Beetz, Brian Tyree Henry, Donald Glover, LaKeith Stanfield",TV-MA,06 Sep 2016,"Ivy League dropout Earn and his rapper cousin Paper Boi hustle their way up the ladder of the Atlanta, Georgia, music scene one rung at a time.",8.6,51884,
Strongest Deliveryman,"Drama, Romance","Won-Hee Go, Go Kyung-Pyo, Sun Woo Jae Duk, Kang Bong-Sung",,04 Aug 2017,Two gutsy food delivery workers strive to overcome their socioeconomic disadvantages to achieve big goals -- and bump into love along the way.,7.3,349,
Wakefield,Drama,"Jennifer Garner, Ellery Sprayberry, Bryan Cranston, Victoria Bruno",R,19 May 2017,"An unhappy father and lawyer quits his suburban life and vanishes into the attic above his garage, where he watches his family move on without him.",6.3,15464,
The Girl from the Song,"Drama, Music, Romance","Charlotte Atkinson, Charlie MacGechan, Joséphine Berry, Lewis Rainer",,29 Nov 2017,An aspiring musician follows a carefree college student to Burning Man in Nevadas Black Rock Desert to declare his love to her and find himself.,5.6,1573,
The Story of God with Morgan Freeman,"Documentary, Adventure, History",Morgan Freeman,TV-14,11 Mar 2016,"Host Morgan Freeman explores religions role in human history, how our beliefs connect us and possible answers to lifes million-dollar questions.",7.9,4547,
From the Land of the Moon,"Drama, Romance","Louis Garrel, Marion Cotillard, Brigitte Roüan, Alex Brendemühl",R,28 Jul 2017,A free-spirited woman in a marriage of convenience finds an outlet for her desires when she travels to the Alps on her doctors orders.,6.7,5461,
Perú: Tesoro Escondido,Documentary,,,09 Nov 2017,"Its a country steeped in cultural traditions that stretch back more than 1,000 years. But Peru is also a land of surprising natural riches.",6.1,394,
Trailer Park Boys: Out of the Park: USA,"Adventure, Comedy, Crime, Drama","Robb Wells, Tom Mayhue, Mike Smith, John Paul Tremblay",TV-MA,24 Nov 2017,"The boys are back on the loose as Bubbles, Julian and Ricky head south of the Canadian border for some outrageous American adventures.",6.7,2007,
Mars,"Adventure, Drama, Sci-Fi","Jihae, Sammi Rotibi, Clémentine Poidatz, Alberto Ammann",TV-PG,14 Nov 2016,Fact meets fiction in this docudrama chronicling the journey of a spacecraft crew as it embarks in 2033 on a mission to colonize the red planet.,7.5,13841,
Barbra: The Music ... The Memries ... The Magic!,Music,"Alec Baldwin, James Brolin, Stephanie 'Stevvi' Alexander, Barbra Streisand",TV-14,22 Nov 2017,"Iconic songstress Barbra Streisand culminates her 13-city tour in Miami with dazzling ballads, Broadway standards and stories from behind the scenes.",7.5,382,
Godless,"Drama, Western","Merritt Wever, Jack O'Connell, Scoot McNairy, Michelle Dockery",TV-MA,22 Nov 2017,"A ruthless outlaw terrorizes the West in search of a former member of his gang, who’s found a new life in a quiet town populated only by women.",8.3,52830,
Poster Boys,Comedy,"Sunny Deol, Shreyas Talpade, Randheer Rai, Bobby Deol",PG-13,08 Sep 2017,"Three men are stunned to find their faces on a poster promoting vasectomies, and must prove to their upset loved ones that theyre innocent victims.",5.4,1410,
Cuba and the Cameraman,Documentary,,,24 Nov 2017,Emmy-winning filmmaker Jon Alpert chronicles the fortunes of three Cuban families over the course of four tumultuous decades in the nations history.,8.3,3427,
Shes Gotta Have It,Comedy,"Anthony Ramos, Cleo Anthony, Lyriq Bent, DeWanda Wise",TV-MA,23 Nov 2017,Nola Darling struggles to stay true to herself and her dreams while juggling three lovers in this Spike Lee series based on his breakout film.,6.7,4105,
Deep,"Animation, Adventure, Comedy, Family","Elisabeth Gray, Justin Felbinger, Stephen Hughes, Lindsey Alena",PG,15 Jan 2018,"After accidentally trapping his family in their underwater home, a young octopus and his ocean-dwelling buddies search for help far across the sea.",4.1,1358,
The Boss Baby,"Animation, Adventure, Comedy, Family, Fantasy","Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow",PG,31 Mar 2017,A kid finds himself at the center of a sinister corporate plot when his parents bring home a baby who only talks business when theyre not around.,6.3,109139,
Beat Bugs: All Together Now,"Animation, Short, Adventure, Comedy, Family, Fantasy, Musical","Lili Beaudoin, Shannon Chan-Kent, Ashleigh Ball, Charles Demers",,21 Nov 2017,"After winning a local talent show, the Beat Bugs journey to compete on The Bug Factor, a televised singing contest held in faraway Rocket Ship Park.",7,21,
Song to Song,"Drama, Music, Romance","Rooney Mara, Natalie Portman, Michael Fassbender, Ryan Gosling",R,17 Mar 2017,"As a successful producer falls for a young singer, an up-and-coming musician finds himself drawn to the same woman.",5.7,18929,
Brian Regan: Nunchucks and Flamethrowers,"Documentary, Comedy",Brian Regan,,21 Nov 2017,"Brian Regan takes relatable family humor to new heights as he talks board games, underwear elastic and looking for hot dogs in all the wrong places.",6.2,552,
Saving Capitalism,Documentary,"Darvin Bentlage, Annie Presley, Guadalupe, Robert Reich",TV-PG,21 Nov 2017,Former Secretary of Labor Robert Reich meets with Americans from all walks of life as he chronicles a seismic shift in the nations economy.,6.8,2699,
The Prison,"Action, Crime","Rae-won Kim, Kyeong-Yeong Lee, Suk-kyu Han, Seong-gyoon Kim",Not Rated,31 Mar 2017,A cop-turned-convict discovers a crime syndicate inside a prison lorded over by an inmate crime boss -- and joins in on their nightly heists.,6.5,1624,
Collateral Beauty,"Drama, Romance","Michael Peña, Will Smith, Kate Winslet, Edward Norton",PG-13,16 Dec 2016,An advertising executive wrestling with grief finds meaning by writing letters to unconventional recipients as caring colleagues plot a ruse.,6.8,91920,
Shot in the Dark,Documentary,"Pete Eckert, Bruce Hall, Valerie Hall, Oliver Krisch",,26 Jan 2017,"Three rival freelance stringers scour the streets at night to film crime scenes, fires, accidents -- and anything else they can sell to news outlets.",7.5,119,
Mudbound,"Drama, War","Mary J. Blige, Carey Mulligan, Jason Clarke, Rob Morgan",R,17 Nov 2017,"Two Mississippi families -- one black, one white -- confront the brutal realities of prejudice, farming and friendship in a divided World War II era.",7.4,43081,
A Christmas Prince,"Comedy, Family, Romance","Rose McIver, Alice Krige, Ben Lamb, Honor Kneafsey",TV-PG,17 Nov 2017,Christmas comes early for an aspiring young journalist when shes sent abroad to get the scoop on a dashing prince whos poised to be king.,5.8,17100,
"Jim and Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",Documentary,"Peter Bonerz, Milos Forman, Danny DeVito, Jim Carrey",TV-MA,17 Nov 2017,"Through the lens of his stunningly immersive performance as Andy Kaufman, Jim Carrey ponders the meaning of life, reality, identity and career.",7.7,23180,
Stretch Armstrong and the Flex Fighters,"Animation, Short, Action, Adventure, Comedy, Sci-Fi","Ogie Banks, Wil Wheaton, Scott Menville, Steven Yeun",TV-Y7-FV,17 Nov 2017,Jake Armstrong and his best friends are unexpectedly transformed into superheroes who learn to reach far beyond the limits of any ordinary teenager.,6.4,260,
Marvels The Punisher,"Action, Crime, Drama, Thriller","Amber Rose Revah, Jason R. Moore, Jon Bernthal, Ben Barnes",TV-MA,17 Nov 2017,A former Marine out to punish the criminals responsible for his familys murder finds himself ensnared in a military conspiracy.,8.5,184387,
Billy Elliot,"Drama, Music","Gary Lewis, Jean Heywood, Jamie Bell, Jamie Draven",R,10 Nov 2000,"When a boy trades boxing school for ballet lessons, he may take his newfound talent all the way to the top - and win over his disapproving father.",7.7,127066,
Midnight Run,"Action, Comedy, Crime, Thriller","John Ashton, Yaphet Kotto, Robert De Niro, Charles Grodin",R,20 Jul 1988,"An ex-cop turned bounty hunter is offered $100,000 to transport an accountant who embezzled millions from the mob from New York to Los Angeles.",7.5,76038,
Ainori Love Wagon: Asian Journey,Reality-TV,,,19 Apr 2018,"Seven men and women board a pink bus in search of true love. On a journey through Asia with strangers, their goal is to return to Japan as a couple.",7,229,
The Case for Christ,"Biography, Drama","Erika Christensen, Frankie Faison, Robert Forster, Faye Dunaway",PG,07 Apr 2017,"Bothered by his wifes unyielding belief in Christianity, an investigative reporter sets out to use verifiable facts to poke holes in her faith.",6.3,7850,
Bluebeard,Thriller,"Goo Shin, Chung-Ah Lee, Dae-Myung Kim, Cho Jin-woong",Not Rated,17 Mar 2017,"After hearing what seems to be a murder confession from an elderly man under sedation, a doctor gets swept up in an unresolved serial murder case.",6.4,1625,
Riot,Action,"Chuck Liddell, Dolph Lundgren, Matthew Reese, Danielle C. Ryan",Not Rated,15 Apr 2016,"Seeking vengeance for the murder of his wife, a cop robs a bank in order to be thrown into prison with the Russian kingpin who ruined his life.",5.2,2865,
Hickok,Western,"Luke Hemsworth, Bruce Dern, Kris Kristofferson, Trace Adkins",Not Rated,07 Jul 2017,"While serving as the marshal of rowdy Abilene, Kansas, Wild Bill Hickok uses guns and gall to tidy up the lawless frontier town.",4.7,2719,
Method,"Short, Drama","Carlin James, Mari Lauren, Andres Paul Ramacho, Jason S. Mordeno",,,An ambitious young law enforcement graduate is thrilled when her idol takes her on as a trainee. But his methods arent anything like she imagined.,,,
My Big Fat Greek Wedding 2,"Comedy, Romance","Nia Vardalos, Lainie Kazan, John Corbett, Michael Constantine",PG-13,25 Mar 2016,"As Toula and Ian try to liven up their marriage, an old family secret inspires the extended Portokalos clan to put on another wedding.",6,28387,
DeRay Davis: How to Act Black,Comedy,DeRay Davis,,14 Nov 2017,"Dynamic comic DeRay Davis hits the stage like a ball of fire, nailing the finer points of living, dating and handling show business as a black man.",6.2,389,
Free Fire,"Action, Comedy, Crime, Thriller","Michael Smiley, Brie Larson, Sam Riley, Enzo Cilenti",R,21 Apr 2017,A sketchy arms transaction in a deserted warehouse turns into a free-for-all when the two sides engage in a take-no-prisoners shootout.,6.4,42332,
Megan Leavey,"Biography, Drama, War","Edie Falco, Nick Madrick, Kate Mara, Alisa Harris",PG-13,09 Jun 2017,"Injured by an explosive device in Iraq, a Marine corporal fights to be reunited with the bomb-sniffing German shepherd that saved her life in combat.",7.1,21739,
Their Finest,"Comedy, Drama, Romance, War","Gemma Arterton, Richard E. Grant, Sam Claflin, Nicholas Murchie",R,07 Apr 2017,"With public morale in wartime Britain at an all-time low, an ex-secretary is hired to write feminine flair into a propaganda film.",6.8,18062,
Bon Cop Bad Cop 2,"Action, Comedy, Crime","Noam Jenkins, Colm Feore, Patrick Huard, Marc Beaupré",Not Rated,12 May 2017,"Two veteran buddy cops are back for a second chapter, this time to tackle a car theft ring that turns out to be much more than they bargained for.",6.7,3801,
Mea Culpa,Comedy,Alexis de Anda,TV-MA,10 Nov 2017,"Raw and outspoken, comedian Alexis de Anda bares her soul about weddings, exercise, sex, gynecologists, drugs and much more in this stand-up special.",4.8,84,
The Killer,"Crime, Drama","Ryan Dorsey, Corina Calderon, Richard Cabral, Clayton Cardenas",R,31 Aug 2018,"In lawless badlands, reclusive Cabeleira sets out to discover the fate of his gunman father and grows to be a feared assassin himself.",3.7,262,
Dinotrux Supercharged,"Animation, Short, Action, Adventure, Comedy, Family","Richard Ian Cox, Brian Drummond, Andrew Francis, Ashleigh Ball",TV-Y7,10 Nov 2017,"Amped up with powers that make them faster, stronger and more agile than ever, the Dinotrux are back to face new challenges and meet new friends.",7.2,70,
Women on the Verge of a Nervous Breakdown,"Comedy, Drama","Carmen Maura, María Barranco, Julieta Serrano, Antonio Banderas",R,11 Nov 1988,"After being dumped by her lover, Pepa finds her life -- and the lives of those around her -- spiraling out of control in this madcap farce.",7.6,36189,
Dark Habits,"Comedy, Drama","Cristina Sánchez Pascual, Miguel Zúñiga, Will More, Laura Cepeda",Not Rated,03 Oct 1983,"Singer Yolanda sells heroin on the side and must go on the lam when a deal goes awry. Now, thugs are after her, and her only sanctuary is a convent.",6.6,6282,
What Have I Done to Deserve This?,"Comedy, Drama","Carmen Maura, Ángel de Andrés López, Ryo Hiruma, Luis Hostalot",Not Rated,30 Mar 1985,"A family matriarch struggles against her mean husband, two wayward sons and her grandmother, all of whom live with her in one tiny apartment.",7.2,8790,
Live by Night,"Action, Crime, Drama, Thriller","Ben Affleck, Brendan Gleeson, Remo Girone, Elle Fanning",R,13 Jan 2017,"During Prohibition, the son of a cop bootlegs his way toward the top of the Florida underworld, but not before making a powerful enemy.",6.4,52262,
Mallrats,"Comedy, Romance","Jeremy London, Jason Lee, Shannen Doherty, Claire Forlani",R,20 Oct 1995,"Two suburbanites lose their girlfriends on the same day, so they head to the mall in search of solace in writer-director Kevin Smiths offbeat comedy.",7.1,116220,
La La Land,"Comedy, Drama, Music, Musical, Romance","Emma Stone, Terry Walters, Ryan Gosling, Amiée Conn",PG-13,25 Dec 2016,"Career aspirations run up against bittersweet romance in modern-day Los Angeles, as two artists face a heartbreaking dilemma.",8,508025,
P. King Duckling,"Animation, Family","Courtney Shaw, Benjie Randall, Darren Dunstan, Marc Thompson",TV-Y,07 Nov 2016,"P. King, the daring but hapless duck, teams up with best buddies Wombat and Chumpkins to find wacky and wild ways to solve their problems.",6.2,24,
The Journey Is the Destination,Drama,"Sam Hazeldine, Ben Schnetzer, Kelly Macdonald, Ella Purnell",R,18 Apr 2017,Spirited 22-year-old activist and photojournalist Dan Eldon rushes to the frontline of a dangerous relief effort for Somalian refugees in this biopic.,6.3,520,
The Sinner,"Crime, Drama, Mystery, Thriller",Bill Pullman,TV-MA,02 Aug 2017,"When a young mother inexplicably stabs a stranger to death, a sympathetic detective struggles to unlock the mystery buried in her missing memories.",7.9,87091,
Jerry Seinfeld: Comedian,"Documentary, Comedy","Jerry Seinfeld, Sherrod Small, Greg Giraldo, Jim Norton",R,01 Jul 2003,Christian Charless documentary follows established comedian Jerry Seinfeld and up-and-comer Orny Adams as they navigate the stand-up circuit.,6.9,6563,
Let It Fall: Los Angeles 1982-1992,"Documentary, History","Tom Bradley, Tim Goldman, Damian 'Football' Williams, Daryl Gates",TV-MA,21 Apr 2017,This documentary chronicles simmering tension and broken trust between L.A.s black community and police in the decade before the Rodney King riots.,7.8,663,
The Dinner,"Crime, Drama, Thriller","Steve Coogan, Charlie Plummer, Taylor Rae Almonte, Michael Chernus",R,18 May 2017,Two brothers and their wives meet for dinner at an exclusive dining establishment. But their evening out together has a painful hidden agenda.,4.5,7873,
Mubarakan,"Comedy, Romance","Anil Kapoor, Ileana D'Cruz, Athiya Shetty, Arjun Kapoor",PG-13,28 Jul 2017,"Chaos ensues after two orphaned twin brothers raised apart team up with their eccentric, unmarried uncle to find a solution to their romantic woes.",5.5,3493,
Rock Dog,"Animation, Adventure, Comedy, Family, Music","J.K. Simmons, Luke Wilson, Eddie Izzard, Lewis Black",PG,24 Feb 2017,"A Tibetan mastiff with a knack for rock n roll defies his fathers wishes and pursues his passion, all the while heading off a mean pack of wolves.",6,4622,
Amazing Hotels: Life Beyond the Lobby,Documentary,"Monica Galetti, Giles Coren",,27 Mar 2017,Some of the worlds most awe-inspiring hotels will go to great lengths to create the ultimate experience for their guests. These are their stories.,7.7,250,
6 Days,"Action, Drama, History, Thriller","Martin Shaw, Mark Strong, Jamie Bell, Abbie Cornish",R,18 Aug 2017,"When armed gunmen seize the Iranian Embassy in 1980, a tense six-day standoff ensues while elite British soldiers prepare for a dangerous raid.",6.2,18656,
The Big Family Cooking Showdown,Reality-TV,"Angellica Bell, Tommy Banks, Nadiya Hussain, Zoë Ball",,01 Aug 2017,"In this unscripted series, families passionate about food serve up their most delicious dishes for the chance to be crowned Britains best home cooks.",7,531,
The Mekong River with Sue Perkins,Documentary,Sue Perkins,,09 Nov 2014,"Comedian and writer Sue Perkins sets off on a 3,000-mile journey up the Mekong River to explore a people and region on the verge of dramatic change.",7.8,94,
Alias Grace,"Biography, Crime, Drama, Thriller","Rebecca Liddiard, Zachary Levi, Sarah Gadon, Edward Holcroft",TV-MA,03 Nov 2017,"In 19th-century Canada, a psychiatrist weighs whether a murderess should be pardoned due to insanity. Based on Margaret Atwoods award-winning novel.",7.8,26102,
Bandie,"Action, Drama, Romance","Sulakshana Pandit, Utpal Dutt, Uttam Kumar, Nandita Thakur",,10 Mar 1978,"Heirless Maharaj Brajbhan leaves his throne to his cousin Vikram, but when Brajbhans wife, Badi Rani, finally conceives, Vikram plots to destroy her.",4.6,25,
Once Upon a Time... Life,"Animation, Family","Gilles Laurent, Alain Dorval, Marie-Laure Beneston, Roger Carel",,13 Sep 1987,"Buckle up for a head-to-toe adventure through the human body as this animated series explores the workings of our cells, hearts, brains and more.",8.2,4605,
聖闘士星矢 黄金魂 -soul of gold-,"Animation, Fantasy","Hideyuki Tanaka, Takumi Yamazaki, Tomokazu Seki, Ken'yû Horiuchi",,10 Apr 2015,The legendary 12 Gold Knights of Athena thought to have perished in the holy war against Hades are resurrected to face the God Warriors of Asgard.,7.7,895,
Salvation,"Drama, Sci-Fi, Thriller","Charlie Rowe, Jacqueline Byers, Santiago Cabrera, Jennifer Finnigan",TV-14,12 Jul 2017,An MIT grad student and a tech billionaire team up in a desperate bid to stop an asteroid from colliding with Earth.,7,18642,
Zak Storm,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi","Michael Johnston, Max Mittelman, Christine Marie Cabanos, Christopher Corey Smith",TV-Y7-FV,14 Oct 2017,"Teen surfer Zak Storm is mysteriously transported to the Bermuda Triangle, where he becomes the captain of a magical ship full of misfits.",6.4,112,
21 Thunder,Drama,"Emmanuel Kabongo, Kevin Claydon, Andres Joseph, Stephanie Bennett",TV-MA,,A team of under-21 soccer players in Montreal copes with triumphs and challenges on and off the field while chasing dreams of professional stardom.,6.2,942,
Frank and Lola,"Crime, Drama, Romance, Thriller","Michael Shannon, Rosanna Arquette, Justin Long, Imogen Poots",Unrated,09 Dec 2016,A talented Las Vegas chef falls in love with an aspiring fashion designer but turns violently jealous when he realizes that shes hiding dark secrets.,5.9,5534,
A Cure for Wellness,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller","Ivo Nandi, Mia Goth, Jason Isaacs, Dane DeHaan",R,17 Feb 2017,"Dispatched to retrieve his companys CEO from a remote European wellness spa, a naive underling discovers the alpine retreats terrifying secrets.",6.4,86916,
In a Valley of Violence,"Action, Western","James Ransone, Ethan Hawke, John Travolta, Taissa Farmiga",R,21 Oct 2016,"After a quiet drifter is met with violence and bullying in a small town, he finds himself enmeshed in a vengeful struggle with the local marshal.",6,16202,
Midnight Sun,"Crime, Drama, Mystery, Thriller","Leïla Bekhti, Albin Grenholm, Jakob Hultcrantz Hansson, Gustaf Hammarsten",,23 Oct 2016,The bizarre murder of a Frenchman in northernmost Sweden lead French and Swedish investigators inside a twisted world of ritualistic murders.,7.5,4521,
A United Kingdom,"Biography, Drama, History, Romance","David Oyelowo, Jack Davenport, Rosamund Pike, Tom Felton",PG-13,10 Feb 2017,"An English womans marriage to Botswanas royal heir causes diplomatic uproar, but the couple fights against all odds to follow their hearts.",6.9,14499,
Mean Dreams,"Drama, Thriller","Sophie Nélisse, Josh Wiggins, Joe Cobden, Bill Paxton",R,17 Mar 2017,"Desperate to start a new life with his girlfriend, a teenage boy steals drug money from her father, who happens to be the towns corrupt lawman.",6.3,4198,
Legacy,"Comedy, Drama","Amy Tyger, McKell David, Jacob Chapman, Franz Drameh",,19 Jun 2015,"Shut out from the hottest club in town, five determined friends attempt the impossible: to create their own epic party and take down the competition.",4.5,352,
Field of Dreams,"Drama, Family, Fantasy, Sport","Kevin Costner, Amy Madigan, Gaby Hoffmann, Ray Liotta",PG,05 May 1989,Kevin Costner stars as an Iowa farmer who hears a mysterious voice telling him to turn his cornfield into a baseball diamond.,7.5,108380,
The Crush,"Drama, Thriller","Cary Elwes, Kurtwood Smith, Jennifer Rubin, Alicia Silverstone",R,02 Apr 1993,"Looking for a quiet place to live, journalist Nick moves into a familys guesthouse but soon finds himself the object of their teen daughters desire.",5.9,16604,
Angel Eyes,"Drama, Romance","Jeremy Sisto, Jennifer Lopez, Jim Caviezel, Terrence Howard",R,18 May 2001,"When a violent assault leaves her vulnerable, a streetwise Chicago cop receives help from a haunted loner whos struggling with traumas of his own.",5.6,22562,
Once Upon a Time in Venice,"Action, Comedy","Bruce Willis, Jason Momoa, Emily Robinson, John Goodman",Not Rated,16 Jun 2017,"To get his beloved terrier back from the vicious gang that stole him, a weary private detective must do a few illegal favors for the gangs leader.",5.3,17615,
Poseidon,"Action, Adventure, Thriller","Josh Lucas, Richard Dreyfuss, Kurt Russell, Jacinda Barrett",PG-13,12 May 2006,"A tidal wave spells disaster for a ship of New Years Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival.",5.7,98973,
The Truth,"Short, Drama","Malia Bendi-Merad, Jessy Chenal, Simon Miller, Dylan Davey",,,"A devious businessman covets his partners priceless treasure map, while a related murder case calls into question some biological family ties.",,,
Hajwala: The Missing Engine,"Action, Adventure, Crime, Drama, Sport, Thriller","Omar Aljabri, Abdullah Bin Heider, Haleem Aljabri, Anwar Aljabri",PG-13,29 Sep 2016,A competitive streetcar racers obsession with winning drive him to develop a vehicle with an innovative engine thats never been used before.,2.1,202,
Love Live! School Idol Project,"Animation, Short, Music","Masumi Asano, Emi Nitta, Noriko Hidaka, Riho Iida",,01 Jul 2015,"The girls of Otonokizaka Academy, led by the intrepid Honoka Kosaka, form an idol group to try to save their beloved school from shutting down.",7.5,6,
Adult Life Skills,"Comedy, Drama","Brett Goldstein, Lorraine Ashbourne, Rachael Deering, Jodie Whittaker",TV-MA,18 Jan 2019,"Anna, nearly 30 and living in her moms shed, bonds with a young neighbor and an awkward estate agent as she faces pressure to get her life on track.",6.3,3294,
The Idolmaster Cinderella Girls,"Animation, Comedy, Drama, Music","Ayaka Fukuhara, Sayuri Hara, Ayaka Ohashi, Shunsuke Takeuchi",,24 Dec 2014,"A group of girls is recruited into a talent agencys Cinderella Project, but becoming a pop idol is full of unexpected challenges.",6.3,118,
Together,Drama,"Trond Halbo, Jonathan Espolin-Johnson, Mona Grenne, Catrin Larell Eide",,23 Jan 2009,"Spanning 30 years, a group of dedicated and diverse friends experiences happiness and hardship in a newly independent Singapore.",6.6,201,
