title,genre,actors,view rating,release date,summary,score,votes,
Marionette,"Mystery, Thriller","Elijah Wolf, Sam Hazeldine, Thekla Reuten, Emun Elliott",,19 Sep 2020,A teacher seeks a former detectives help when her students fall victim to the same extortionist who blackmailed her with revealing photos 14 years ago.,5.9,1059,
Miss Baek,Drama,"Hee-joon Lee, Jun Suk-ho, Si-ah Kim, Han Ji-min",Not Rated,11 Oct 2018,"Reminded of her own trauma and painful past upon meeting a young girl suffering from abuse, an ex-con resolves to save the child from her mother.",6.6,814,
Old Marine Boy,Documentary,"Myoungho Park, Cheolhoon Park, Cheoljoon Park, Soonhee Kim",,,This documentary plunges into the life of a deep-sea diver who puts his life on the oxygen line to keep his family afloat as a husband and father.,6.9,7,
Ordinary People,Drama,"Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton",R,19 Sep 1980,"During a probe into a missing high school student, her best friend and a new gym teacher stumble upon the sinister truth behind her disappearance.",7.7,47265,
Outdoor Begins,"Comedy, Fantasy, Horror, Thriller","Yoo-Mi Lee, Young-geun Hong, Deok-jae Jo, Song-Ha Yeon",,04 Mar 2017,"When night falls and primal instincts arise, a cursed mask turns a novice hitman into a sadistic murderer at a secluded campsite.",4.8,6,
Paths of the Soul,Drama,"Pei Yang, Tsring Chodron, Tsewang Dolkar, Jiangcuo Seba",Not Rated,20 Jun 2017,"From harsh weather to unwavering devotion, this docudrama follows several villagers on a walking pilgrimage to Lhasa — the holy capital of Tibet.",7.5,738,
Promise at Dawn,"Biography, Drama, Romance, War","Pierre Niney, Jean-Pierre Darroussin, Didier Bourdon, Charlotte Gainsbourg",,06 Sep 2019,"Romain rises from humble origins to become a famous writer, a war hero and more, fulfilling a destiny set by his well-meaning but overbearing mother.",7.2,2464,
Rebel in the Rye,"Biography, Drama, Romance, War","Kevin Spacey, Nicholas Hoult, Victor Garber, Hope Davis",PG-13,15 Sep 2017,"A young J.D. Salinger struggles to write his classic novel, ""The Catcher in the Rye,"" under the tutelage of a demanding mentor.",6.7,8472,
The Return,Drama,"Nataliya Vdovina, Konstantin Lavronenko, Ivan Dobronravov, Vladimir Garin",Not Rated,25 Jun 2003,An out-of-the-way makgeolli restaurant serves as a rest stop for those with longing in their hearts for someone who may or may not return.,8,42530,
The Rookies,"Crime, Drama","Sam Melville, Georg Stanford Brown, Gerald S. O'Loughlin, Kate Jackson",,07 Mar 1972,"After a misunderstanding, an extreme sports enthusiast is recruited by an elite agent to head off a dangerous weapons scheme in Budapest.",6.7,834,
Snatch Up,"Drama, Crime, Action","Kwang-ryul Jun, Oh Jeong-Se, Kyeong-Yeong Lee, Mu-Yeol Kim",,12 Apr 2018,"From a job seeker to a politician, seven men from various walks of life unexpectedly join the chase for a bag of money they all claim to be theirs.",6,52,
